Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani,,,
1,Thomas,What's up? What is your name? Stranger?,,
2,Leolani,Thomas,"[{'chat': 98, 'turn': 1, 'author': 'Leolani', 'utterance': 'So your name is Thomas?', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-23', 'subject': {'label': 'So-your-name', 'type': ['adv', 'communication'], 'uri': 'http://cltl.nl/leolani/world/so-your-name'}, 'predicate': {'label': 'be', 'type': ['stative'], 'uri': 'http://cltl.nl/leolani/n2mu/be'}, 'object': {'label': 'Thomas', 'type': ['person'], 'uri': 'http://cltl.nl/leolani/world/thomas'}, 'perspective': {'sentiment': 0.0, 'certainty': 1.0, 'polarity': 1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:26.036157', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 1, 'author': 'Leolani', 'utterance': 'So your name is Thomas?', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-23', 'subject': {'label': 'So-your-name', 'type': ['adv', 'communication'], 'uri': 'http://cltl.nl/leolani/world/so-your-name'}, 'predicate': {'label': 'be', 'type': ['stative'], 'uri': 'http://cltl.nl/leolani/n2mu/be'}, 'object': {'label': 'Thomas', 'type': ['person'], 'uri': 'http://cltl.nl/leolani/world/thomas'}, 'perspective': {'sentiment': 0.0, 'certainty': 1.0, 'polarity': 1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:26.036157', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]",
3,Thomas,So your name is Thomas?,,
4,Leolani,yes,,"[{'chat': 98, 'turn': 3, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-50', 'subject': {'label': 'you', 'type': [], 'uri': 'http://cltl.nl/leolani/world/you'}, 'predicate': {'label': 'Would like', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/would_like'}, 'object': {'label': 'to chat', 'type': [], 'uri': 'http://cltl.nl/leolani/world/to_chat'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:34.817142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 3, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-50', 'subject': {'label': 'you', 'type': [], 'uri': 'http://cltl.nl/leolani/world/you'}, 'predicate': {'label': 'Would like', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/would_like'}, 'object': {'label': 'chat', 'type': [], 'uri': 'http://cltl.nl/leolani/world/chat'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:34.817142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 3, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-50', 'subject': {'label': 'I', 'type': [], 'uri': 'http://cltl.nl/leolani/world/i'}, 'predicate': {'label': ""'ll do"", 'type': [], 'uri': ""http://cltl.nl/leolani/n2mu/'ll_do""}, 'object': {'label': 'my best', 'type': [], 'uri': 'http://cltl.nl/leolani/world/my_best'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:34.817142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
5,Thomas,Would you like to chat? I'll do my best to keep up,"[{'chat': 98, 'turn': 4, 'author': 'Thomas', 'utterance': 'I like chatting', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-15', 'subject': {'label': 'Thomas', 'type': ['person'], 'uri': 'http://cltl.nl/leolani/world/thomas'}, 'predicate': {'label': 'like', 'type': ['emotion'], 'uri': 'http://cltl.nl/leolani/n2mu/like'}, 'object': {'label': 'chatting', 'type': ['communication'], 'uri': 'http://cltl.nl/leolani/world/chatting'}, 'perspective': {'sentiment': 0.75, 'certainty': 1.0, 'polarity': 1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:41.516318', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 4, 'author': 'Thomas', 'utterance': 'I like chatting', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-15', 'subject': {'label': 'Thomas', 'type': ['person'], 'uri': 'http://cltl.nl/leolani/world/thomas'}, 'predicate': {'label': 'like', 'type': ['emotion'], 'uri': 'http://cltl.nl/leolani/n2mu/like'}, 'object': {'label': 'chatting', 'type': ['communication'], 'uri': 'http://cltl.nl/leolani/world/chatting'}, 'perspective': {'sentiment': 0.75, 'certainty': 1.0, 'polarity': 1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:41.516318', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]",
6,Leolani,I like chatting,,"[{'chat': 98, 'turn': 5, 'author': 'Leolani', 'utterance': 'I would like to know. What types of Instance like chatting do person orInstance usually like', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-92', 'subject': {'label': 'I', 'type': [], 'uri': 'http://cltl.nl/leolani/world/i'}, 'predicate': {'label': 'would like', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/would_like'}, 'object': {'label': 'know', 'type': [], 'uri': 'http://cltl.nl/leolani/world/know'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:42.810154', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 5, 'author': 'Leolani', 'utterance': 'I would like to know. What types of Instance like chatting do person orInstance usually like', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-92', 'subject': {'label': 'I', 'type': [], 'uri': 'http://cltl.nl/leolani/world/i'}, 'predicate': {'label': 'would like', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/would_like'}, 'object': {'label': 'to know', 'type': [], 'uri': 'http://cltl.nl/leolani/world/to_know'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:42.810154', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Thomas,I would like to know. What types of Instance like chatting do person orInstance usually like,"[{'chat': 98, 'turn': 6, 'author': 'Thomas', 'utterance': 'Person likes convos', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-19', 'subject': {'label': 'person', 'type': [], 'uri': 'http://cltl.nl/leolani/world/person'}, 'predicate': {'label': 'like', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/like'}, 'object': {'label': 'convos', 'type': ['noun'], 'uri': 'http://cltl.nl/leolani/world/convos'}, 'perspective': {'sentiment': 0.75, 'certainty': 1.0, 'polarity': 1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:50.051851', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]",
8,Leolani,Person likes convos,,"[{'chat': 98, 'turn': 7, 'author': 'Leolani', 'utterance': 'I am curious. What types of noun orInstance like convos do tops orInstance usually like', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-87', 'subject': {'label': 'I', 'type': [], 'uri': 'http://cltl.nl/leolani/world/i'}, 'predicate': {'label': 'am', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/am'}, 'object': {'label': 'curious', 'type': [], 'uri': 'http://cltl.nl/leolani/world/curious'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:25:51.233664', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
9,Thomas,I am curious. What types of noun orInstance like convos do tops orInstance usually like,"[{'chat': 98, 'turn': 8, 'author': 'Thomas', 'utterance': 'Convos are not people', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-21', 'subject': {'label': 'convos', 'type': ['agent'], 'uri': 'http://cltl.nl/leolani/world/convos'}, 'predicate': {'label': 'be', 'type': ['stative'], 'uri': 'http://cltl.nl/leolani/n2mu/be'}, 'object': {'label': 'people', 'type': ['group'], 'uri': 'http://cltl.nl/leolani/world/people'}, 'perspective': {'sentiment': 0.0, 'certainty': 1.0, 'polarity': -1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:58.127816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 98, 'turn': 8, 'author': 'Thomas', 'utterance': 'Convos are not people', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-21', 'subject': {'label': 'convos', 'type': ['agent'], 'uri': 'http://cltl.nl/leolani/world/convos'}, 'predicate': {'label': 'be', 'type': ['stative'], 'uri': 'http://cltl.nl/leolani/n2mu/be'}, 'object': {'label': 'people', 'type': ['group'], 'uri': 'http://cltl.nl/leolani/world/people'}, 'perspective': {'sentiment': 0.0, 'certainty': 1.0, 'polarity': -1.0, 'emotion': 0.0}, 'context_id': None, 'date': '2022-02-20T22:25:58.127816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]",
