Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,How's it going? I would like to know your name! Piotr?,,"[{'chat': 133, 'turn': 0, 'author': 'Leolani', 'utterance': ""How's it going? I would like to know your name! Piotr?"", 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:55:41.889337', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 0, 'author': 'Leolani', 'utterance': ""How's it going? I would like to know your name! Piotr?"", 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:55:41.889337', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 0, 'author': 'Leolani', 'utterance': ""How's it going? I would like to know your name! Piotr?"", 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'your name', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:55:41.889337', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
2,,Piotr,,
3,,So your name is Piotr?,,"[{'chat': 133, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:55:54.866621', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:55:54.866621', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Piotr,"Tell me anything, I love learning things",,"[{'chat': 133, 'turn': 4, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:07.706492', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 4, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'learning things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:07.706492', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,I like cats,,"[{'chat': 133, 'turn': 5, 'author': 'Leolani', 'utterance': 'I like cats', 'utterance_type': 'STATEMENT', 'position': '0-11', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'cats', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:14.192145', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Piotr,If you don't mind me asking. What types can piotr like,,
8,Leolani2,My favourite cat is Garfield,,"[{'chat': 133, 'turn': 7, 'author': 'Leolani', 'utterance': 'My favourite cat is Garfield', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'My cat', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Garfield', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:27.078767', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 7, 'author': 'Leolani', 'utterance': 'My favourite cat is Garfield', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'My favourite cat', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Garfield', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:27.078767', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
9,Piotr,If you don't mind me asking. Has a dish ever cook by garfield?,,"[{'chat': 133, 'turn': 8, 'author': 'Leolani', 'utterance': ""If you don't mind me asking. Has a dish ever cook by garfield?"", 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'dish', 'type': []}, 'predicate': {'label': 'Has ever cook by', 'type': []}, 'object': {'label': 'garfield', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:33.517077', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 8, 'author': 'Leolani', 'utterance': ""If you don't mind me asking. Has a dish ever cook by garfield?"", 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'dish', 'type': []}, 'predicate': {'label': 'Has cook by', 'type': []}, 'object': {'label': 'garfield', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:33.517077', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
