Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,Yo Can you tell me your name Piotr?,,"[{'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'Yo', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'Yo', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'your name', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'Yo', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 0, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-35', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'your name', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:29.399707', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
2,,Piotr,,
3,,So your name is Piotr?,,"[{'chat': 66, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:42.324551', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Piotr?', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:42.324551', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Piotr,Would you like to chat? I'll do my best to keep up,,"[{'chat': 66, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': ""'ll do"", 'type': []}, 'object': {'label': 'my best', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:55.105272', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:55.105272', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'to chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:03:55.105272', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,I am a student,,"[{'chat': 66, 'turn': 5, 'author': 'Leolani', 'utterance': 'I am a student', 'utterance_type': 'STATEMENT', 'position': '0-14', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'student', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:01.624989', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Piotr,This is news to me. I did not know anything that piotr be,,"[{'chat': 66, 'turn': 6, 'author': 'Leolani', 'utterance': 'This is news to me. I did not know anything that piotr be', 'utterance_type': 'STATEMENT', 'position': '0-57', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:08.077981', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
8,Leolani2,I live in Amstelveen,,"[{'chat': 66, 'turn': 7, 'author': 'Leolani', 'utterance': 'I live in Amstelveen', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'live in', 'type': []}, 'object': {'label': 'Amstelveen', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:14.606073', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
9,Piotr,I am glad to have learned something new. I did not know anybody that piotr live in,,"[{'chat': 66, 'turn': 8, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that piotr live in', 'utterance_type': 'STATEMENT', 'position': '0-82', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something new', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:21.084740', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 8, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that piotr live in', 'utterance_type': 'STATEMENT', 'position': '0-82', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'glad', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:21.084740', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 8, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that piotr live in', 'utterance_type': 'STATEMENT', 'position': '0-82', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:21.084740', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
10,Leolani2,I know Ella,,"[{'chat': 66, 'turn': 9, 'author': 'Leolani', 'utterance': 'I know Ella', 'utterance_type': 'STATEMENT', 'position': '0-11', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:27.667154', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
11,Piotr,Exciting news! I am excited to get to know about you!,,"[{'chat': 66, 'turn': 10, 'author': 'Leolani', 'utterance': 'Exciting news! I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-53', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:34.126656', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 10, 'author': 'Leolani', 'utterance': 'Exciting news! I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-53', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'excited', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:34.126656', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 10, 'author': 'Leolani', 'utterance': 'Exciting news! I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-53', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:34.126656', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 10, 'author': 'Leolani', 'utterance': 'Exciting news! I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-53', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:34.126656', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 10, 'author': 'Leolani', 'utterance': 'Exciting news! I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-53', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:04:34.126656', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
12,Leolani2,Ella like flamingo,,
13,Piotr,Exciting news! I did not know anything that ella like,,
14,Leolani2,What Ella like?,,
15,Piotr,I don't know,,
16,Leolani2,What does Ella like?,,
17,Piotr,I wouldn't know!,,
18,Leolani2,Ella like what?,,
