Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,What's new? Who are you? Stranger?,,
2,,Nicole,,
3,,So your name is Nicole?,,"[{'chat': 164, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Nicole?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Nicole', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:22.840621', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Nicole?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Nicole', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:22.840621', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Nicole,Would you like to chat? I'll do my best to keep up,,"[{'chat': 164, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': ""'ll do"", 'type': []}, 'object': {'label': 'my best', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:35.958476', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:35.958476', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 4, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'to chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:35.958476', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,I like dogs,,"[{'chat': 164, 'turn': 5, 'author': 'Leolani', 'utterance': 'I like dogs', 'utterance_type': 'STATEMENT', 'position': '0-11', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'dogs', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:42.592221', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Nicole,"I just learned something, I had never heard about dogs before!",,"[{'chat': 164, 'turn': 6, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about dogs before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'dogs', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:49.231020', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 6, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about dogs before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:49.231020', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 6, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about dogs before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:49.231020', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 6, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about dogs before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'dogs', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:49.231020', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
8,Leolani2,Dogs are pets and very sweet,,"[{'chat': 164, 'turn': 7, 'author': 'Leolani', 'utterance': 'Dogs are pets and very sweet', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Dogs', 'type': []}, 'predicate': {'label': 'are', 'type': []}, 'object': {'label': 'pets', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:42:55.915747', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
9,Nicole,Wise words by wise men write wise deeds in wise pen,,"[{'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write deeds in', 'type': []}, 'object': {'label': 'wise pen', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write in', 'type': []}, 'object': {'label': 'wise pen', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write', 'type': []}, 'object': {'label': 'wise deeds', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write', 'type': []}, 'object': {'label': 'deeds', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write deeds in', 'type': []}, 'object': {'label': 'pen', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 164, 'turn': 8, 'author': 'Leolani', 'utterance': 'Wise words by wise men write wise deeds in wise pen', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'Wise words', 'type': []}, 'predicate': {'label': 'write in', 'type': []}, 'object': {'label': 'pen', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:43:02.404823', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
