Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,Hi! What is your name? Ella?,,
2,,Ella,,
3,,So your name is Ella?,,"[{'chat': 16, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:00:47.777427', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 16, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:00:47.777427', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Ella,Let's chat!,,
6,Leolani2,I like book,,"[{'chat': 16, 'turn': 5, 'author': 'Leolani', 'utterance': 'I like book', 'utterance_type': 'STATEMENT', 'position': '0-11', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'book', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:01:07.049854', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Ella,If you don't mind me asking. What types can ella like,,
8,Leolani2,objects,,
9,Ella,In this economy?,,
10,Leolani2,I know Piotr,,"[{'chat': 16, 'turn': 9, 'author': 'Leolani', 'utterance': 'I know Piotr', 'utterance_type': 'STATEMENT', 'position': '0-12', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:01:32.827484', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
11,Ella,I did not know that! I had never heard about piotr before!,,"[{'chat': 16, 'turn': 10, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:01:39.341772', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 16, 'turn': 10, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:01:39.341772', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
12,Leolani2,What I like?,,
13,Ella,you told me you like book,,"[{'chat': 16, 'turn': 12, 'author': 'Leolani', 'utterance': 'you told me you like book', 'utterance_type': 'STATEMENT', 'position': '0-25', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:01:52.274562', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
14,Leolani2,Who I know?,,
15,Ella,you told me you know piotr,,"[{'chat': 16, 'turn': 14, 'author': 'Leolani', 'utterance': 'you told me you know piotr', 'utterance_type': 'STATEMENT', 'position': '0-26', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:02:05.080984', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 16, 'turn': 14, 'author': 'Leolani', 'utterance': 'you told me you know piotr', 'utterance_type': 'STATEMENT', 'position': '0-26', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:02:05.080984', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
16,Leolani2,I live in Alkmaar,,"[{'chat': 16, 'turn': 15, 'author': 'Leolani', 'utterance': 'I live in Alkmaar', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'live in', 'type': []}, 'object': {'label': 'Alkmaar', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:02:11.495026', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
17,Ella,Exciting news! I did not know anybody who live in alkmaar,,
18,Leolani2,Who live in Alkmaar?,,
19,Ella,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
