Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,Imme,How are you doing? Who are you? Stranger?,,
2,Leolani2,Imme,,"[{'chat': 86, 'turn': 1, 'author': 'Leolani', 'utterance': 'So your name is Imme?', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-21', 'subject': {'label': 'your name', 'type': [], 'uri': 'http://cltl.nl/leolani/world/your_name'}, 'predicate': {'label': 'is', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/is'}, 'object': {'label': 'So Imme', 'type': [], 'uri': 'http://cltl.nl/leolani/world/so_imme'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:34:48.405313', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 86, 'turn': 1, 'author': 'Leolani', 'utterance': 'So your name is Imme?', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-21', 'subject': {'label': 'your name', 'type': [], 'uri': 'http://cltl.nl/leolani/world/your_name'}, 'predicate': {'label': 'is', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/is'}, 'object': {'label': 'Imme', 'type': [], 'uri': 'http://cltl.nl/leolani/world/imme'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:34:48.405313', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
3,Imme,So your name is Imme?,,
4,Leolani2,yes,,"[{'chat': 86, 'turn': 3, 'author': 'Leolani', 'utterance': 'Do you have any gossip?', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-23', 'subject': {'label': 'you', 'type': [], 'uri': 'http://cltl.nl/leolani/world/you'}, 'predicate': {'label': 'Do have', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/do_have'}, 'object': {'label': 'gossip', 'type': [], 'uri': 'http://cltl.nl/leolani/world/gossip'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:35:01.288878', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
5,Imme,Do you have any gossip?,,"[{'chat': 86, 'turn': 4, 'author': 'Imme', 'utterance': 'Thomas is in love', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-17', 'subject': {'label': 'Thomas', 'type': [], 'uri': 'http://cltl.nl/leolani/world/thomas'}, 'predicate': {'label': 'is in', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/is_in'}, 'object': {'label': 'love', 'type': [], 'uri': 'http://cltl.nl/leolani/world/love'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:35:07.786790', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,Thomas is in love,,
7,Imme,Exciting news! I did not know anybody who be in love,,
8,Leolani2,What is love?,,
9,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,"[{'chat': 86, 'turn': 8, 'author': 'Imme', 'utterance': 'Love is an emotion', 'utterance_type': <UtteranceType.STATEMENT: '0'>, 'position': '0-18', 'subject': {'label': 'Love', 'type': [], 'uri': 'http://cltl.nl/leolani/world/love'}, 'predicate': {'label': 'is', 'type': [], 'uri': 'http://cltl.nl/leolani/n2mu/is'}, 'object': {'label': 'emotion', 'type': [], 'uri': 'http://cltl.nl/leolani/world/emotion'}, 'perspective': {}, 'context_id': None, 'date': '2022-02-20T22:35:33.895084', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
